Country,Companies,Bronze,Gold,Silver,Total,Avg_Revenue,Avg_Earnings,Avg_MarketCap,Financial_Power_Score
Argentina,19,0,0,0,0,3403506426.0,518116053.0,6714590307.0,0.46
Australia,343,0,0,0,0,1909929017.0,330766975.0,3926408056.0,0.26
Austria,60,0,0,0,0,3359665464.0,440348653.0,2076770374.0,0.4
Bahamas,2,0,0,0,0,423597000.0,33864000.0,666001939.0,0.05
Bahrain,28,0,0,0,0,404532811.0,109994335.0,858457639.0,0.06
Belgium,75,0,0,0,0,2764777368.0,303603759.0,3624425062.0,0.34
Bermuda,40,0,0,0,0,3388617341.0,647544383.0,4422290372.0,0.45
Brazil,84,0,0,0,0,9998948928.0,1181275106.0,7289551362.0,1.19
British Virgin Islands,1,0,0,0,0,0.0,-82680000.0,5553837.0,-0.01
Cambodia,9,0,0,0,0,125060419.0,59358749.0,398524637.0,0.02
Canada,471,0,0,0,0,3417736280.0,470717266.0,4815198812.0,0.44
Cayman Islands,8,0,0,0,0,1102124066.0,57006288.0,1284713326.0,0.13
Chile,21,0,0,0,0,7579173002.0,894541824.0,4131068241.0,0.89
China,319,0,0,0,0,17640377528.0,2643617895.0,17780550269.0,2.21
Colombia,4,0,0,0,0,11306012167.0,2672251500.0,6134587799.0,1.46
Costa Rica,1,0,0,0,0,151350000.0,-84168000.0,993476755.0,0.02
Cyprus,5,0,0,0,0,982027574.0,34656140.0,351948989.0,0.11
Czech Republic,4,0,0,0,0,4104696068.0,1331124500.0,6111659003.0,0.6
Denmark,60,0,0,0,0,4026350836.0,263060456.0,11548008454.0,0.54
Egypt,1,0,0,0,0,1935054354.0,1454500000.0,3920486308.0,0.38
Estonia,1,0,0,0,0,867348288.0,108097000.0,366648667.0,0.1
Finland,64,0,0,0,0,3112713520.0,343052756.0,3483979712.0,0.38
France,308,0,0,0,0,7342948563.0,683389300.0,7623257142.0,0.88
Germany,378,0,0,0,0,7415612039.0,581646284.0,5048395597.0,0.85
Gibraltar,1,0,0,0,0,289772000.0,-8715000.0,236554103.0,0.03
Greece,42,0,0,0,0,1646443907.0,324080317.0,1539215273.0,0.21
Guernsey,2,0,0,0,0,1096862488.0,277527100.0,1795005618.0,0.16
Hong Kong,148,0,0,0,0,5083480950.0,685616513.0,4995756616.0,0.63
Hungary,3,0,0,0,0,11512533012.0,1931942333.0,6517266598.0,1.41
Iceland,31,0,0,0,0,402373000.0,32912992.0,514857113.0,0.05
India,586,0,0,0,0,2913324245.0,418249909.0,6272198466.0,0.4
Indonesia,47,0,0,0,0,3147638164.0,634671083.0,6948542178.0,0.45
Ireland,45,0,0,0,0,9053105386.0,1155260998.0,18002822874.0,1.2
Isle Of Man,2,0,0,0,0,3458298833.0,113518000.0,3613796096.0,0.39
Israel,150,0,0,0,0,1137745567.0,164547246.0,1548237368.0,0.15
Italy,93,0,0,0,0,7484325647.0,1029938111.0,6890152211.0,0.92
Japan,348,0,0,0,0,12578933195.0,1280267358.0,11326031272.0,1.5
Jersey,6,0,0,0,0,1061790540.0,4142933.0,1161338561.0,0.12
Jordan,1,0,0,0,0,485684000.0,117948000.0,651779901.0,0.07
Kazakhstan,4,0,0,0,0,3165891273.0,1842141250.0,8418995785.0,0.58
Kuwait,58,0,0,0,0,781104687.0,186284958.0,1696282366.0,0.11
Lithuania,1,0,0,0,0,522912167.0,82522000.0,784646630.0,0.07
Luxembourg,32,0,0,0,0,5070009211.0,175714767.0,3203982484.0,0.56
Macau,2,0,0,0,0,698333536.0,-645931000.0,4028534302.0,0.05
Malaysia,49,0,0,0,0,2472718872.0,458351051.0,4423461258.0,0.34
Malta,3,0,0,0,0,648641251.0,49297300.0,873439814.0,0.08
Mexico,31,0,0,0,0,9701113106.0,1353269016.0,12737329826.0,1.23
Monaco,4,0,0,0,0,1225962500.0,492492000.0,1508540368.0,0.19
Netherlands,65,0,0,0,0,12196269169.0,1065545320.0,15776542457.0,1.48
New Zealand,37,0,0,0,0,1497482098.0,102924218.0,2201087605.0,0.18
Nigeria,1,0,0,0,0,1767391607.0,1137820000.0,755460373.0,0.3
Norway,103,0,0,0,0,2662039699.0,618228758.0,2288494538.0,0.35
Oman,45,0,0,0,0,0.0,0.0,385833032.0,0.0
Pakistan,38,0,0,0,0,0.0,0.0,507997220.0,0.01
Panama,2,0,0,0,0,1880913500.0,483313500.0,1936062140.0,0.26
Peru,3,0,0,0,0,1260684965.0,184407133.0,1707917597.0,0.16
Philippines,13,0,0,0,0,3825378591.0,1080023462.0,7339369004.0,0.56
Poland,107,0,0,0,0,2244239625.0,204953683.0,1270402050.0,0.26
Portugal,17,0,0,0,0,5828480603.0,602581429.0,3209152414.0,0.68
Qatar,52,0,0,0,0,964120787.0,308506426.0,2503169147.0,0.15
Romania,3,0,0,0,0,1352245189.0,494209000.0,4667191257.0,0.23
Russia,17,0,0,0,0,320265979.0,88374706.0,15968673258.0,0.2
Saudi Arabia,225,1,1,0,2,3366973617.0,1225676919.0,9190632952.0,6.55
Singapore,77,0,0,0,0,3482400095.0,550168123.0,5189072793.0,0.46
South Africa,49,0,0,0,0,5019950179.0,530050007.0,4521230619.0,0.6
South Korea,104,0,0,0,0,13642306659.0,1210048247.0,8763533853.0,1.57
Spain,65,0,0,0,0,9920198853.0,1460637690.0,10510095815.0,1.24
Sudan,1,0,0,0,0,0.0,0.0,69419836.0,0.0
Sweden,193,0,0,0,0,2720235309.0,321648315.0,4394488844.0,0.35
Switzerland,196,0,0,0,0,6459093807.0,871063095.0,9907296847.0,0.83
Taiwan,101,0,0,0,0,7324497281.0,1021282538.0,13568378670.0,0.97
Thailand,59,0,0,0,0,5865209115.0,588821530.0,5107674819.0,0.7
Turkey,42,0,0,0,0,7721034057.0,1177380079.0,4043700920.0,0.93
United Arab Emirates,145,0,0,0,0,-87205738.0,219340987.0,5224291408.0,0.07
United Kingdom,414,0,0,0,0,5666205563.0,582934648.0,6866673241.0,0.69
United States,3720,2,2,3,7,5855073618.0,696450335.0,12012542558.0,21.78
Uruguay,2,0,0,0,0,2600228500.0,205559000.0,1585352166.0,0.3
Vietnam,37,0,0,0,0,1865514211.0,249097927.0,2540785275.0,0.24
